player_name,decision_type,round_id,target_card,played_cards,remaining_cards,is_bluffing,bluff_type,challenged_player,was_challenged,challenge_success,observed_player,confidence
DeepSeek,challenge,1,,,,,,Gemini,False,,,0.3
DeepSeek,challenge,1,,,,,,Gemini,False,,,0.6
DeepSeek,play,1,Q,"Q,Q","K,K,K",False,诚实,,,,,0.3
DeepSeek,play,1,Q,Q,"Joker,K,K,K",False,诚实,,,,,0.6
DeepSeek,play,1,K,K,"A,Q,K,A",False,诚实,,,,,0.8
DeepSeek,challenge,2,,,,,,Gemini,False,,,0.3
DeepSeek,challenge,2,,,,,,Claude,False,,,0.5
DeepSeek,play,2,A,A,"K,Q,Joker,K",False,诚实,,,,,0.3
DeepSeek,play,2,Q,Q,"A,A,A,K",False,诚实,,,,,0.3
DeepSeek,play,2,Q,A,"A,A,K",True,纯虚张,,,,,0.3
DeepSeek,challenge,3,,,,,,Gemini,False,,,0.3
DeepSeek,play,3,Q,"Q,Q,Q","K,K",False,诚实,,,,,0.8
DeepSeek,play,3,Q,"K,K","A,A,K",True,纯虚张,,,,,0.8
DeepSeek,play,3,K,K,"Q,Q,Q,A",False,诚实,,,,,0.3
DeepSeek,challenge,4,,,,,,Claude,True,False,,0.3
DeepSeek,challenge,4,,,,,,Claude,True,True,,0.3
DeepSeek,challenge,5,,,,,,Claude,True,False,,0.6
DeepSeek,play,5,A,"A,Joker","K,Q,K",False,诚实,,,,,0.6
DeepSeek,challenge,6,,,,,,Claude,True,True,,0.3
